Date,office_population
1,55.96875
2,56.8125
3,43.14930555555556
4,36.826388888888886
5,39.65277777777778
6,43.375
7,42.27777777777778
8,48.857638888888886
9,53.552083333333336
10,41.802083333333336
11,49.114583333333336
12,54.579861111111114
13,51.454861111111114
14,44.451388888888886
15,60.354166666666664
16,55.298611111111114
17,45.635416666666664
18,48.826388888888886
19,51.33680555555556
20,48.447916666666664
21,49.489583333333336
22,53.479166666666664
23,48.35069444444444
24,46.47222222222222
25,49.236111111111114
26,54.88194444444444
27,48.37847222222222
28,47.951388888888886
29,59.60227272727273
30,50.79545454545455
31,30.511904761904763
